228000001001010102001   5310 #0001    N 070880DEC  CDBDBADCCEDBCCDBBDAADADCBCDBECEBEDDAAEBC  BCAAABCDDBACD                              
228000002001010102001   5310 #0001    N 070881CDEBADDBDBBEB*AADCBAEEACDCDBACBAADBBBDDEBDCDBAACDDDCEBCDCBAB                              
228000003001010102001   5310 #0001    N 070882DCEBBBEEDCCBADDDCDDAEAECAAAEADADDBDBDBECECADBEBDACBCCEAACDBC                              
228000004001010102001   5310 #0001    N 070883CCECDECEBACCAAAECBDBDECEAEABAEABEBBCEABDADBCBEECCABAEACBEADB                              
228000005001010102001   5310 #0001    N 070884ABDEACBDBACDDCCACBBDECAABEAAEDADABEAEBACACBDBEDDEDCDCCABEABB                              
228000006001010102001   5310 #0001    N 070887CCCCCCCABCCBCCCCCCCCEEDCCDEDEAAADCCDCEECCEBCCCCCECBAABADCCEE                              
228000007001010102001   5310 #0001    N 070888EECCBAEEAEDCBBEBDACDBDCAAEDBCEBDCADCECBEBDECACADCABCEADDCEBB                              
228000008001010102001   5310 #0001    N 070889ACECCCADAEEDCCABAABDCBBEAACCBEBCAEEDCBADCECBAADCBACADCCBDBBD                              
228000009001010102001   5310 #0001    N 070890EEDCBEDCBDBDBAACCBBCDABADAADABBBECBEAECAECDAECCBBAAABCCDAACB                              
228000010001010102001   5310 #0001    N 070892ACEDDDDADBBEDDDDDDDDDCDAACDCCDEEBEDBCECEECAABEEDECBCAEEBDCCB                              
228000011001010102001   5310 #0001    N 070894ADDDDDCAADBDDCD DCDDECDDEDDAEDEEADCDCBBBBACDDDDCBDBDDAABDDEE                              
228000012001010102001   5310 #0001    N 070895CDDEEEBBC        ACDEBECBAEEDA   A   B           ADBDCDEABCA                              
228000013001010102001   5310 #0001    N 070896CEAAADCBCAEAACCEECCEEBEDDDBEDCCBADCAADCBCAEBACADCEBABCBDABEC                              
228000014001010102001   5310 #0001    N 070897CCDAAAABABCAABDEBAADBECCCABACBAACACBDDCBCDCABCEBBCCCDAAABAAA                              
228000015001010102001   5310 #0001    N 070898DBACEEAEBBCCAA  BB EEE BADABAEA E  C AEDEC CAEE CABABEABDCAE                              
228000016001010102001   5310 #0001    N 070899DCECCABCBDDCDCEDCDBDCEABADADBACAADCDCDEDBECDDCDBDACADEABACBC                              
228000017001010102001   5310 #0001    N 070900DDDEBEDADAABDAEEEEBCCABEADCDABDBBDEEBECCBEAAEBABCEEBABBECBCD                              
228000018001010102001   5310 #0001    N 070901EBDDBCBCDCDCBADECEABEBDAABDEBDDCCCAABDDDBEAEC     EDBBCDBCB                               
