246000001001081124001   5330     1    S 023731 DEDBCBABBACAECCADCBACDABCAAEBB          
246000002001081124001   5330     1    S 023732 CECEABEEABAEDDBEADCBBAEABDCBBE          
246000003001081124001   5330     1    S 023733 CDDADBADADDCCCAEBCCBCDDAEEABEA          
246000004001081124001   5330     1    S 023734 CABBAEDEBCEBBCDDDBCCADAEEBDDAE          
246000005001081124001   5330     1    S 023735 EADCECACCBDDBAEDCCCDBDAADCADDE          
246000006001081124001   5330     1    S 023736 DBDBBBDEBACAECCAACCADCABEACDAB          
246000007001081124001   5330     1    S 023737 CECEBBBEABCEDEBAADDDBBBAADDBAB          
246000008001081124001   5330     1    S 023738 DDDACCAABEDCCCAEACBBDDAAEEADEC          
246000009001081124001   5330     1    S 023739 CACBCEEEBCEBBADDDECCADCDEBEAAA          
246000010001081124001   5330     1    S 023740 EABCDBACBBDDDAEDCCCCABAADEABDE          
246000011001081124001   5330     1    S 023741 D DE EBEBA  E CABCCEDAABEAECAC          
246000012001081124001   5330     1    S 023742 CECBBCBEBBAEDEBDAAABBAABBBDCDB          
246000013001081124001   5330     1    S 023743 DDDCCCADADDCCCAEBCCBCDBAEEAEEC          
246000014001081124001   5330     1    S 023744 CABBDDDEECEBEADDDBACEDAEEBAAAA          
246000015001081124001   5330     1    S 023745 EACDACABCBBECABACDCDBCBBDDAEDE          
246000016001081124001   5330     1    S 023746 EEDBBDAEBACAEBCAECCEAABBEACCBB          
246000017001081124001   5330     1    S 023747 CEABBDBEABAEDDBCADABBDAADDDBAE          
246000018001081124001   5330     1    S 023748 DDDACBADCDDCCCAEACCBCDBAEEACBC          
246000019001081124001   5330     1    S 023749 CABADBDEDDEBEADBDBCCADBEBBADAA          
246000020001081124001   5330     1    S 023750 EABEECACBBDDDAEDCBCCDABCEAAEDA          
246000021001081124001   5330     1    S 023751 DEDBBEDEBACAEBCAECCBDDDBCACCAA          
246000022001081124001   5330     1    S 023752 CCDEEBEDAEBEDEEDADADBCEABDDBDE          
246000023001081124001   5330     1    S 023753 CDDCCBADCDDCCCCEBCCBCABCCEAABC          

